Date,Price
2025-03-10 00:00:22,2928.52124023
2025-03-10 00:01:22,2928.39355469
2025-03-10 00:02:22,2928.58569336
2025-03-10 00:03:22,2928.84301758
2025-03-10 00:04:22,2928.58569336
2025-03-10 00:05:22,2928.7800293
2025-03-10 00:06:22,2928.84301758
2025-03-10 00:07:22,2929.29345703
2025-03-10 00:08:22,2929.67749023
2025-03-10 00:09:22,2929.55151367
2025-03-10 00:10:22,2929.29345703
2025-03-10 00:11:22,2928.97265625
2025-03-10 00:12:22,2929.10180664
2025-03-10 00:13:22,2929.3581543
2025-03-10 00:14:22,2929.48779297
2025-03-10 00:15:22,2929.67749023
2025-03-10 00:16:22,2929.67749023
2025-03-10 00:17:22,2929.61328125
2025-03-10 00:18:22,2929.67749023
2025-03-10 00:19:22,2929.29345703
2025-03-10 00:20:22,2929.10180664
2025-03-10 00:21:22,2929.16577148
2025-03-10 00:22:22,2929.03588867
2025-03-10 00:23:22,2929.74243164
2025-03-10 00:24:22,2929.80737305
2025-03-10 00:25:22,2928.71484375
2025-03-10 00:26:22,2928.20019531
2025-03-10 00:27:22,2928.0078125
2025-03-10 00:28:22,2928.39355469
2025-03-10 00:29:22,2928.71484375
2025-03-10 00:30:22,2929.74243164
2025-03-10 00:31:22,2929.42407227
2025-03-10 00:32:22,2928.7800293
2025-03-10 00:33:22,2929.99951172
2025-03-10 00:34:22,2929.87036133
2025-03-10 00:35:22,2929.80737305
2025-03-10 00:36:22,2929.80737305
2025-03-10 00:37:22,2930.51147461
2025-03-10 00:38:22,2931.27954102
2025-03-10 00:39:22,2931.34179688
2025-03-10 00:40:22,2930.38452148
2025-03-10 00:41:22,2930.38452148
2025-03-10 00:42:22,2930.51147461
2025-03-10 00:43:22,2931.9128418
2025-03-10 00:44:22,2932.67504883
2025-03-10 00:45:22,2932.16894531
2025-03-10 00:46:22,2932.29589844
2025-03-10 00:47:22,2932.10449219
2025-03-10 00:48:22,2932.10449219
2025-03-10 00:49:22,2932.10449219
2025-03-10 00:50:22,2931.53320312
2025-03-10 00:51:22,2931.34179688
2025-03-10 00:52:22,2931.66137695
2025-03-10 00:53:22,2931.9128418
2025-03-10 00:54:22,2931.72412109
